token	corpus size	all contexts size	frequency	co-frequency	specificity
شامل	96613	2422	7	2	1.93
فرص	96613	2422	7	2	1.93
الصباغ	96613	2422	7	2	1.93
التاسع	96613	2422	7	2	1.93
تحقيق	96613	2422	20	3	1.93
قراءة	96613	2422	20	3	1.93
عرض	96613	2422	61	5	1.85
جدا	96613	2422	8	2	1.82
خضرة	96613	2422	8	2	1.82
التطبيق	96613	2422	8	2	1.82
أدوات	96613	2422	41	4	1.81
حياة	96613	2422	23	3	1.78
6	96613	2422	9	2	1.72
فنون	96613	2422	9	2	1.72
كلمات	96613	2422	9	2	1.72
[spinner.gif]	96613	2422	9	2	1.72
المساعدة	96613	2422	9	2	1.72
مادة	96613	2422	9	2	1.72
التعليقات	96613	2422	10	2	1.64
ورق	96613	2422	10	2	1.64
أبيض	96613	2422	10	2	1.64
المصدر	96613	2422	10	2	1.64
له:	96613	2422	10	2	1.64
الأبيات	96613	2422	1	1	1.60
السعادة،	96613	2422	1	1	1.60
والشوق...	96613	2422	1	1	1.60
المفتاحية	96613	2422	1	1	1.60
حب-	96613	2422	1	1	1.60
كرم-	96613	2422	1	1	1.60
الكامل:	96613	2422	1	1	1.60
جدا,	96613	2422	1	1	1.60
660.8	96613	2422	1	1	1.60
660.3	96613	2422	1	1	1.60
35.65	96613	2422	1	1	1.60
660.1	96613	2422	1	1	1.60
460.1	96613	2422	1	1	1.60
جداً,	96613	2422	1	1	1.60
620.8	96613	2422	1	1	1.60
620.3	96613	2422	1	1	1.60
620.1	96613	2422	1	1	1.60
660.5	96613	2422	1	1	1.60
460.8	96613	2422	1	1	1.60
460.3	96613	2422	1	1	1.60
الرئيسية/مجتمع/أهمية	96613	2422	1	1	1.60
5.6	96613	2422	1	1	1.60
Afrikaans	96613	2422	1	1	1.60
አማርኛ	96613	2422	1	1	1.60
Aragonés	96613	2422	1	1	1.60
Ænglisc	96613	2422	1	1	1.60
अंगिका	96613	2422	1	1	1.60
مصرى	96613	2422	1	1	1.60
Asturianu	96613	2422	1	1	1.60
Авар	96613	2422	1	1	1.60
يشوشها	96613	2422	1	1	1.60
أخرى؛	96613	2422	1	1	1.60
بالأصفر؛	96613	2422	1	1	1.60
للمال	96613	2422	1	1	1.60
لطباعة	96613	2422	1	1	1.60
الستينات	96613	2422	1	1	1.60
[40px-P_Art22.png]	96613	2422	1	1	1.60
كبّادي	96613	2422	1	1	1.60
كَرَفسيّ	96613	2422	1	1	1.60
واسابي	96613	2422	1	1	1.60
مصفر	96613	2422	1	1	1.60
كرتوزي	96613	2422	1	1	1.60
هيلوني	96613	2422	1	1	1.60
عُصاري	96613	2422	1	1	1.60
شاليهي	96613	2422	1	1	1.60
ساطع	96613	2422	1	1	1.60
فستقي	96613	2422	1	1	1.60
كيلي	96613	2422	1	1	1.60
هندي	96613	2422	1	1	1.60
غابي	96613	2422	1	1	1.60
نعناعيّ	96613	2422	1	1	1.60
إسلامي	96613	2422	1	1	1.60
باكستاني	96613	2422	1	1	1.60
غوبْلِنيّ	96613	2422	1	1	1.60
تكساس	96613	2422	1	1	1.60
زمردي	96613	2422	1	1	1.60
غابيّ	96613	2422	1	1	1.60
مائيّ	96613	2422	1	1	1.60
مالاكايتي	96613	2422	1	1	1.60
طبقي	96613	2422	1	1	1.60
بحري	96613	2422	1	1	1.60
أمازوني	96613	2422	1	1	1.60
جوهري	96613	2422	1	1	1.60
مَرَحيّ	96613	2422	1	1	1.60
محيطي	96613	2422	1	1	1.60
كادِمْيوميّ	96613	2422	1	1	1.60
زمرديّ	96613	2422	1	1	1.60
ريحانيّ	96613	2422	1	1	1.60
دارتموثي	96613	2422	1	1	1.60
نعناعي	96613	2422	1	1	1.60
ضبابي	96613	2422	1	1	1.60
مرجي	96613	2422	1	1	1.60
جبلي	96613	2422	1	1	1.60
قاروري	96613	2422	1	1	1.60
العينات	96613	2422	1	1	1.60
أعلاه	96613	2422	1	1	1.60
تمثيلة	96613	2422	1	1	1.60
سيان)	96613	2422	1	1	1.60
فوشي	96613	2422	1	1	1.60
ماجنتي)	96613	2422	1	1	1.60
كُميت	96613	2422	1	1	1.60
شرشيري	96613	2422	1	1	1.60
كحلي	96613	2422	1	1	1.60
ليمان	96613	2422	1	1	1.60
ألفا	96613	2422	1	1	1.60
سماوي	96613	2422	1	1	1.60
(art)	96613	2422	1	1	1.60
«https://ar.wikipedia.org/w/index.php?title=أخضر&oldid=72412310»	96613	2422	1	1	1.60
مرئية	96613	2422	1	1	1.60
قالب	96613	2422	1	1	1.60
الإشتراكات	96613	2422	1	1	1.60
فهو-	96613	2422	1	1	1.60
ريب-	96613	2422	1	1	1.60
زاهٍ،	96613	2422	1	1	1.60
متجدّد	96613	2422	1	1	1.60
ومتطوّر،	96613	2422	1	1	1.60
حافلٌ	96613	2422	1	1	1.60
والعطاء؛	96613	2422	1	1	1.60
سلاحًا	96613	2422	1	1	1.60
التّأسيس	96613	2422	1	1	1.60
ينعم	96613	2422	1	1	1.60
بالازدهار	96613	2422	1	1	1.60
والرّفاه	96613	2422	1	1	1.60
والطّمأنينة	96613	2422	1	1	1.60
والسّلام؛	96613	2422	1	1	1.60
فسلاح	96613	2422	1	1	1.60
إنسانيًّا	96613	2422	1	1	1.60
يستثني	96613	2422	1	1	1.60
أحدًا	96613	2422	1	1	1.60
شعبًا	96613	2422	1	1	1.60
أمّة،	96613	2422	1	1	1.60
ولادة	96613	2422	1	1	1.60
الاخضرار.	96613	2422	1	1	1.60
تُنتج	96613	2422	1	1	1.60
وثقافةً	96613	2422	1	1	1.60
خضراء؛	96613	2422	1	1	1.60
تأمّلنا	96613	2422	1	1	1.60
الطّبيعة،	96613	2422	1	1	1.60
شيءٍ	96613	2422	1	1	1.60
حيًّا،	96613	2422	1	1	1.60
وحتّى	96613	2422	1	1	1.60
آنفًا-	96613	2422	1	1	1.60
صبحٍ	96613	2422	1	1	1.60
وجهكَ	96613	2422	1	1	1.60
أزهر	96613	2422	1	1	1.60
وأسافرَ	96613	2422	1	1	1.60
لرياضِ	96613	2422	1	1	1.60
الخُلدِ	96613	2422	1	1	1.60
أسكنها	96613	2422	1	1	1.60
أرحلُ	96613	2422	1	1	1.60
روضَ	96613	2422	1	1	1.60
جُمانٍ	96613	2422	1	1	1.60
جوهَر	96613	2422	1	1	1.60
أرفعُ	96613	2422	1	1	1.60
المرعى	96613	2422	1	1	1.60
العنز	96613	2422	1	1	1.60
مريضة	96613	2422	1	1	1.60
2010كعك	96613	2422	1	1	1.60
بالجوز	96613	2422	1	1	1.60
[align=CENTER][table1="width:95%;background-image:url('http://www.noor	96613	2422	1	1	1.60
eladab.com/vb/mwaextraedit2/backgrounds/196.gif');border:3px	96613	2422	1	1	1.60
double	96613	2422	1	1	1.60
chocolate;"][cell="filter:;"][align=center]	96613	2422	1	1	1.60
أبحرت	96613	2422	1	1	1.60
أرجو	96613	2422	1	1	1.60
أحلامنا	96613	2422	1	1	1.60
لنرى	96613	2422	1	1	1.60
الانسانية	96613	2422	1	1	1.60
بخير.	96613	2422	1	1	1.60
صفد	96613	2422	1	1	1.60
غاضبًا	96613	2422	1	1	1.60
تفريغ	96613	2422	1	1	1.60
إستيائه.	96613	2422	1	1	1.60
صارا	96613	2422	1	1	1.60
السيارة	96613	2422	1	1	1.60
فكانوا	96613	2422	1	1	1.60
طبيعيين	96613	2422	1	1	1.60
باستثناء	96613	2422	1	1	1.60
ملفت	96613	2422	1	1	1.60
فكانت	96613	2422	1	1	1.60
النجاحات،	96613	2422	1	1	1.60
الأنانية.	96613	2422	1	1	1.60
اعتبار	96613	2422	1	1	1.60
للسلام	96613	2422	1	1	1.60
[bd813e58-448b-4a9a-8cff-3bee56bae5aa-thumbnail-770x770-70.jpg]	96613	2422	1	1	1.60
[product-img.svg]	96613	2422	1	1	1.60
وخيزران	96613	2422	1	1	1.60
BAMBOO	96613	2422	1	1	1.60
الاستخدمات،	96613	2422	1	1	1.60
تقييمات,	96613	2422	1	1	1.60
6.51	96613	2422	1	1	1.60
11انظر	96613	2422	1	1	1.60
12مصادر	96613	2422	1	1	1.60
13وصلات	96613	2422	1	1	1.60
الاستخدامات	96613	2422	1	1	1.60
(توضيح).	96613	2422	1	1	1.60
Additive	96613	2422	1	1	1.60
يشوشوهم	96613	2422	1	1	1.60
؛على	96613	2422	1	1	1.60
بالأصفرِ؛	96613	2422	1	1	1.60
rendering	96613	2422	1	1	1.60
عمامة	96613	2422	1	1	1.60
طربوش	96613	2422	1	1	1.60
كوفية	96613	2422	1	1	1.60
سونغكوك	96613	2422	1	1	1.60
MUV	96613	2422	1	1	1.60
NUV	96613	2422	1	1	1.60
UVC	96613	2422	1	1	1.60
UVB	96613	2422	1	1	1.60
UVA	96613	2422	1	1	1.60
(بصري)	96613	2422	1	1	1.60
Cyan	96613	2422	1	1	1.60
NIR	96613	2422	1	1	1.60
SWIR	96613	2422	1	1	1.60
MWIR	96613	2422	1	1	1.60
LWIR	96613	2422	1	1	1.60
FIR	96613	2422	1	1	1.60
قرمزي	96613	2422	1	1	1.60
typical	96613	2422	1	1	1.60
بفلسطين..	96613	2422	1	1	1.60
الصامتين	96613	2422	1	1	1.60
30/11/201030/11/2010	96613	2422	1	1	1.60
للعمل".	96613	2422	1	1	1.60
الأشهى	96613	2422	1	1	1.60
وملتقى	96613	2422	1	1	1.60
الأدباء	96613	2422	1	1	1.60
يُذكَر	96613	2422	1	1	1.60
مستدامة.	96613	2422	1	1	1.60
لخطة	96613	2422	1	1	1.60
تُعَدّ	96613	2422	1	1	1.60
أهدافك	96613	2422	1	1	1.60
categories...	96613	2422	1	1	1.60
مكان!	96613	2422	1	1	1.60
تحب!	96613	2422	1	1	1.60
تريده	96613	2422	1	1	1.60
إنترنت.	96613	2422	1	1	1.60
محدودة!	96613	2422	1	1	1.60
بمجموعة	96613	2422	1	1	1.60
متنوعة.	96613	2422	1	1	1.60
اعثر	96613	2422	1	1	1.60
شغفك	96613	2422	1	1	1.60
وانطلق!	96613	2422	1	1	1.60
ستجد	96613	2422	1	1	1.60
لتنطلق	96613	2422	1	1	1.60
والاستماع	96613	2422	1	1	1.60
واحد!	96613	2422	1	1	1.60
[devices1.5009271.png]	96613	2422	1	1	1.60
لتطور	96613	2422	1	1	1.60
نفسك!	96613	2422	1	1	1.60
تطورك	96613	2422	1	1	1.60
التطبيق.	96613	2422	1	1	1.60
حصرية.	96613	2422	1	1	1.60
+1.5	96613	2422	1	1	1.60
مستخدم	96613	2422	1	1	1.60
احبوا	96613	2422	1	1	1.60
لاكتشاف	96613	2422	1	1	1.60
ملهمة	96613	2422	1	1	1.60
ومثيرة	96613	2422	1	1	1.60
للإهتمام!	96613	2422	1	1	1.60
شهريا	96613	2422	1	1	1.60
وكن	96613	2422	1	1	1.60
شركائنا	96613	2422	1	1	1.60
بالترويج	96613	2422	1	1	1.60
وجمهورك	96613	2422	1	1	1.60
الخاص؟	96613	2422	1	1	1.60
إلكتروني	96613	2422	1	1	1.60
تنشئ	96613	2422	1	1	1.60
محتوى؟	96613	2422	1	1	1.60
شركاءنا	96613	2422	1	1	1.60
واكسب	96613	2422	1	1	1.60
عمولة	96613	2422	1	1	1.60
الترويج	96613	2422	1	1	1.60
ستزيد	96613	2422	1	1	1.60
تجربتهم	96613	2422	1	1	1.60
[1596236814.jpg]	96613	2422	1	1	1.60
Kinan	96613	2422	1	1	1.60
Soliman	96613	2422	1	1	1.60
watch	96613	2422	1	1	1.60
يساعدني	96613	2422	1	1	1.60
الاشتراك؟	96613	2422	1	1	1.60
Akhdar-logo	96613	2422	1	1	1.60
للأفضل	96613	2422	1	1	1.60
بنكهة	96613	2422	1	1	1.60
RISEUP21	96613	2422	1	1	1.60
الكواليس	96613	2422	1	1	1.60
Waraq	96613	2422	1	1	1.60
وجدناه	96613	2422	1	1	1.60
أجلك	96613	2422	1	1	1.60
الحيوان؛	96613	2422	1	1	1.60
وأخضر،	96613	2422	1	1	1.60
يدلو	96613	2422	1	1	1.60
بدلو	96613	2422	1	1	1.60
بالآخر.	96613	2422	1	1	1.60
أدفأ	96613	2422	1	1	1.60
ويظهر	96613	2422	1	1	1.60
بيضاوي	96613	2422	1	1	1.60
ويستمر	96613	2422	1	1	1.60
وثانيتين.	96613	2422	1	1	1.60
وأندرها	96613	2422	1	1	1.60
القدم،	96613	2422	1	1	1.60
يلتف	96613	2422	1	1	1.60
ويغنون	96613	2422	1	1	1.60
دربنا	96613	2422	1	1	1.60
قلبنا	96613	2422	1	1	1.60
تحدثنا	96613	2422	1	1	1.60
نستعمل	96613	2422	1	1	1.60
حديثنا	96613	2422	1	1	1.60
لتوضيح	96613	2422	1	1	1.60
“العشبي”	96613	2422	1	1	1.60
للمعتدل	96613	2422	1	1	1.60
حجرًا	96613	2422	1	1	1.60
كريمًا	96613	2422	1	1	1.60
أثمان	96613	2422	1	1	1.60
الملوّنة	96613	2422	1	1	1.60
تفاوتًا	96613	2422	1	1	1.60
هائلًا	96613	2422	1	1	1.60
الباكستاني،	96613	2422	1	1	1.60
الطحلبي،	96613	2422	1	1	1.60
الزيتوني.	96613	2422	1	1	1.60
القناني،	96613	2422	1	1	1.60
القناني	96613	2422	1	1	1.60
الداكنة،	96613	2422	1	1	1.60
البقدونس،	96613	2422	1	1	1.60
المطابق	96613	2422	1	1	1.60
الفارسي،	96613	2422	1	1	1.60
مميّز	96613	2422	1	1	1.60
يشيع	96613	2422	1	1	1.60
السجّاد	96613	2422	1	1	1.60
والخزف	96613	2422	1	1	1.60
الإيراني.	96613	2422	1	1	1.60
النيون،	96613	2422	1	1	1.60
اصفرارًا	96613	2422	1	1	1.60
مضيء.	96613	2422	1	1	1.60
الليموني،	96613	2422	1	1	1.60
يعتقد	96613	2422	1	1	1.60
إلامَ	96613	2422	1	1	1.60
الغابة”،	96613	2422	1	1	1.60
نشير	96613	2422	1	1	1.60
الدغل،	96613	2422	1	1	1.60
نسبيًا،	96613	2422	1	1	1.60
بالأول،	96613	2422	1	1	1.60
أكثر.	96613	2422	1	1	1.60
الأمازون،	96613	2422	1	1	1.60
المتوسط،	96613	2422	1	1	1.60
نعته	96613	2422	1	1	1.60
ملحوظًا.	96613	2422	1	1	1.60
وللدلالة	96613	2422	1	1	1.60
العلني	96613	2422	1	1	1.60
“سوثبي”	96613	2422	1	1	1.60
2016م،	96613	2422	1	1	1.60
سوار	96613	2422	1	1	1.60
نقي	96613	2422	1	1	1.60
قُدّرت	96613	2422	1	1	1.60
قيمته	96613	2422	1	1	1.60
و9	96613	2422	1	1	1.60
خام	96613	2422	1	1	1.60
لتصنيع	96613	2422	1	1	1.60
فيكتوار”،	96613	2422	1	1	1.60
محاكاة	96613	2422	1	1	1.60
واستنباط	96613	2422	1	1	1.60
يحاكيها.	96613	2422	1	1	1.60
وخلافًا	96613	2422	1	1	1.60
لبهاء	96613	2422	1	1	1.60
ودلالاته	96613	2422	1	1	1.60
نقع	96613	2422	1	1	1.60
صفائح	96613	2422	1	1	1.60
خل	96613	2422	1	1	1.60
العنب.	96613	2422	1	1	1.60
الرمادي،	96613	2422	1	1	1.60
الصدأ	96613	2422	1	1	1.60
التماثيل	96613	2422	1	1	1.60
النحاسية	96613	2422	1	1	1.60
“زواج	96613	2422	1	1	1.60
أرنولفيني”	96613	2422	1	1	1.60
(1434م)؛	96613	2422	1	1	1.60
بثوب	96613	2422	1	1	1.60
اللوحة،	96613	2422	1	1	1.60
دليلًا	96613	2422	1	1	1.60
وثرائها.	96613	2422	1	1	1.60
السويدي	96613	2422	1	1	1.60
كارل	96613	2422	1	1	1.60
فيلهام	96613	2422	1	1	1.60
شيله،	96613	2422	1	1	1.60
قاتل،	96613	2422	1	1	1.60
أساسه	96613	2422	1	1	1.60
السامّة.	96613	2422	1	1	1.60
وراج	96613	2422	1	1	1.60
بكلفة	96613	2422	1	1	1.60
مأساوية.	96613	2422	1	1	1.60
استُخدِم	96613	2422	1	1	1.60
شيله	96613	2422	1	1	1.60
الجدران،	96613	2422	1	1	1.60
وصبغ	96613	2422	1	1	1.60
أقمشة	96613	2422	1	1	1.60
الملابس،	96613	2422	1	1	1.60
والقوارض.	96613	2422	1	1	1.60
أواخر	96613	2422	1	1	1.60
صُنِّع	96613	2422	1	1	1.60
اعتماده	96613	2422	1	1	1.60
كأساس.	96613	2422	1	1	1.60
الرأس	96613	2422	1	1	1.60
إفريقيا،	96613	2422	1	1	1.60
والجبل	96613	2422	1	1	1.60
عُمان،	96613	2422	1	1	1.60
وجبل	96613	2422	1	1	1.60
ثانٍ	96613	2422	1	1	1.60
إندونيسيا،	96613	2422	1	1	1.60
ووادٍ	96613	2422	1	1	1.60
ثالث	96613	2422	1	1	1.60
ورابع.	96613	2422	1	1	1.60
بالاسم	96613	2422	1	1	1.60
نعتًا،	96613	2422	1	1	1.60
لضيق	96613	2422	1	1	1.60
المجال:	96613	2422	1	1	1.60
يُخضر،	96613	2422	1	1	1.60
إخضارًا،	96613	2422	1	1	1.60
مُخضِر،	96613	2422	1	1	1.60
مُخضَر.	96613	2422	1	1	1.60
الماءُ	96613	2422	1	1	1.60
أنعمه	96613	2422	1	1	1.60
وجعله	96613	2422	1	1	1.60
نضرًا.	96613	2422	1	1	1.60
خُضْر،	96613	2422	1	1	1.60
سنَّ	96613	2422	1	1	1.60
البلوغ.	96613	2422	1	1	1.60
ناعم.	96613	2422	1	1	1.60
نضيج	96613	2422	1	1	1.60
“تفاح	96613	2422	1	1	1.60
أخضر”.	96613	2422	1	1	1.60
الكروم:	96613	2422	1	1	1.60
يذوب	96613	2422	1	1	1.60
ويذوب	96613	2422	1	1	1.60
الأحماض	96613	2422	1	1	1.60
خضِرَ:	96613	2422	1	1	1.60
قياس:	96613	2422	1	1	1.60
خُضرة،	96613	2422	1	1	1.60
“هذه	96613	2422	1	1	1.60
غيرها”.	96613	2422	1	1	1.60
اختضر:	96613	2422	1	1	1.60
اختضرَ	96613	2422	1	1	1.60
يختضر،	96613	2422	1	1	1.60
مختضِر،	96613	2422	1	1	1.60
مختضَر.	96613	2422	1	1	1.60
اختضر	96613	2422	1	1	1.60
الفلاَّحُ	96613	2422	1	1	1.60
قطعه	96613	2422	1	1	1.60
أوان	96613	2422	1	1	1.60
نضجه،	96613	2422	1	1	1.60
أكله	96613	2422	1	1	1.60
اختُضِرَ	96613	2422	1	1	1.60
يُخْتَضر،	96613	2422	1	1	1.60
اخْضِيرارًا،	96613	2422	1	1	1.60
مُخضارّ.	96613	2422	1	1	1.60
النَّباتُ:	96613	2422	1	1	1.60
فشيئًا،	96613	2422	1	1	1.60
تدريجيًّا.	96613	2422	1	1	1.60
اخضر:	96613	2422	1	1	1.60
اخضِرارًا،	96613	2422	1	1	1.60
مُخضَرّ.	96613	2422	1	1	1.60
ورقُ	96613	2422	1	1	1.60
الشَّجر:	96613	2422	1	1	1.60
يُخاضر،	96613	2422	1	1	1.60
مخاضرةً،	96613	2422	1	1	1.60
مخاضِر،	96613	2422	1	1	1.60
مخاضَر.	96613	2422	1	1	1.60
خاضر	96613	2422	1	1	1.60
فلانًا:	96613	2422	1	1	1.60
الثَّمرَ	96613	2422	1	1	1.60
صلاحه،	96613	2422	1	1	1.60
الثِّمارَ	96613	2422	1	1	1.60
نضجها	96613	2422	1	1	1.60
“انصرف	96613	2422	1	1	1.60
التُّجّار	96613	2422	1	1	1.60
خُضاريّ	96613	2422	1	1	1.60
