token	corpus size	all contexts size	frequency	co-frequency	specificity
beige_beige	118662	24424	6	4	1.77
performance	118662	24424	6	4	1.77
trở_thành	118662	24424	49	16	1.76
nổi_bật	118662	24424	95	27	1.76
nippon_paint	118662	24424	12	6	1.75
lính	118662	24424	9	5	1.73
sạch_sẽ	118662	24424	9	5	1.73
ngược_lại	118662	24424	9	5	1.73
đơn_thuần	118662	24424	9	5	1.73
tinh	118662	24424	9	5	1.73
công_dụng	118662	24424	9	5	1.73
lý_tưởng	118662	24424	30	11	1.72
đẹp	118662	24424	140	37	1.71
việt_nam	118662	24424	259	63	1.70
chỉ	118662	24424	172	44	1.70
nhờ	118662	24424	38	13	1.69
câu	118662	24424	23	9	1.67
hoặc	118662	24424	202	50	1.63
quần_áo	118662	24424	31	11	1.63
những	118662	24424	450	102	1.60
ngoài	118662	24424	60	18	1.59
định_nghĩa	118662	24424	20	8	1.59
tôn	118662	24424	13	6	1.59
cay	118662	24424	13	6	1.59
diệp_lục	118662	24424	24	9	1.56
năng_động	118662	24424	24	9	1.56
hòa_minzy	118662	24424	24	9	1.56
thiền	118662	24424	4	3	1.56
não	118662	24424	4	3	1.56
sành_điệu	118662	24424	4	3	1.56
biểu_trưng	118662	24424	4	3	1.56
trí_tuệ	118662	24424	4	3	1.56
cửa_kính	118662	24424	4	3	1.56
giải_mã	118662	24424	4	3	1.56
cứu_rỗi	118662	24424	4	3	1.56
2t	118662	24424	4	3	1.56
dark_green	118662	24424	4	3	1.56
light_green	118662	24424	4	3	1.56
consistency	118662	24424	4	3	1.56
dark	118662	24424	4	3	1.56
blazer	118662	24424	4	3	1.56
tươi_tắn	118662	24424	4	3	1.56
maranta	118662	24424	4	3	1.56
leuconeura	118662	24424	4	3	1.56
lựu	118662	24424	4	3	1.56
phiên_âm	118662	24424	4	3	1.56
xanh_dương	118662	24424	4	3	1.56
bag	118662	24424	4	3	1.56
hồng_hồng	118662	24424	4	3	1.56
lợi_thế	118662	24424	4	3	1.56
chiết_khấu	118662	24424	4	3	1.56
grabfood	118662	24424	4	3	1.56
đua	118662	24424	4	3	1.56
thích	118662	24424	65	19	1.56
tiêu_dùng	118662	24424	40	13	1.55
vô_cùng	118662	24424	10	5	1.53
điểm_danh	118662	24424	10	5	1.53
khả_năng	118662	24424	53	16	1.52
check	118662	24424	7	4	1.50
thường_xuyên	118662	24424	7	4	1.50
nhận_diện	118662	24424	7	4	1.50
tại_sao	118662	24424	7	4	1.50
bức	118662	24424	7	4	1.50
tương_phản	118662	24424	7	4	1.50
net	118662	24424	7	4	1.50
gia_nhập	118662	24424	7	4	1.50
nông_trại	118662	24424	102	27	1.49
sáng	118662	24424	93	25	1.49
hợp_tác	118662	24424	21	8	1.48
phố	118662	24424	21	8	1.48
quan_niệm	118662	24424	21	8	1.48
khách_hàng	118662	24424	80	22	1.48
đối_tác	118662	24424	25	9	1.47
ngoài_ra	118662	24424	25	9	1.47
ô_tô	118662	24424	29	10	1.46
phong	118662	24424	29	10	1.46
tái_sinh	118662	24424	14	6	1.44
truyền_tải	118662	24424	14	6	1.44
gỗ	118662	24424	77	21	1.42
điều	118662	24424	64	18	1.40
thông_minh	118662	24424	18	7	1.40
công_ty	118662	24424	73	20	1.40
đến	118662	24424	446	96	1.39
hiểu	118662	24424	30	10	1.39
áo_khoác	118662	24424	30	10	1.39
liền	118662	24424	22	8	1.39
chủ	118662	24424	22	8	1.39
rằng	118662	24424	26	9	1.39
vt65	118662	24424	2	2	1.37
vf501	118662	24424	2	2	1.37
etc	118662	24424	2	2	1.37
việt_etc	118662	24424	2	2	1.37
quan_trắc	118662	24424	2	2	1.37
ab	118662	24424	2	2	1.37
việt_bia	118662	24424	2	2	1.37
chanh_leo	118662	24424	2	2	1.37
founder	118662	24424	2	2	1.37
biên_giới_biển	118662	24424	2	2	1.37
talkshow	118662	24424	2	2	1.37
danh_mục_nấm	118662	24424	2	2	1.37
ngô_tươi	118662	24424	2	2	1.37
lẩu_tươi	118662	24424	2	2	1.37
siêu_lẩu	118662	24424	2	2	1.37
shield	118662	24424	2	2	1.37
admin	118662	24424	2	2	1.37
bánh_tẻ	118662	24424	2	2	1.37
rách	118662	24424	2	2	1.37
mobility	118662	24424	2	2	1.37
hoạt_động_kinh_doanh	118662	24424	2	2	1.37
biên_bản	118662	24424	2	2	1.37
nguyễn_văn_thanh	118662	24424	2	2	1.37
phân_cấp	118662	24424	2	2	1.37
gieo	118662	24424	2	2	1.37
vững_mạnh	118662	24424	2	2	1.37
thiết_kế_đồ	118662	24424	2	2	1.37
liên_tưởng	118662	24424	2	2	1.37
khuyên	118662	24424	2	2	1.37
oliu	118662	24424	2	2	1.37
yoga	118662	24424	2	2	1.37
gợi_cảm_giác	118662	24424	2	2	1.37
kinh_điển	118662	24424	2	2	1.37
đãng	118662	24424	2	2	1.37
đơn_điệu	118662	24424	2	2	1.37
nguyên_tố	118662	24424	2	2	1.37
tươi_trẻ	118662	24424	2	2	1.37
lập_tức	118662	24424	2	2	1.37
thừa_hưởng	118662	24424	2	2	1.37
gucci	118662	24424	2	2	1.37
tưởng_tượng	118662	24424	2	2	1.37
nổi_bật_vẻ	118662	24424	2	2	1.37
ngĩa	118662	24424	2	2	1.37
xuất_phát	118662	24424	2	2	1.37
thấu_hiểu	118662	24424	2	2	1.37
đại_chúng	118662	24424	2	2	1.37
570	118662	24424	2	2	1.37
006400	118662	24424	2	2	1.37
238	118662	24424	2	2	1.37
127	118662	24424	2	2	1.37
tiếp_đón	118662	24424	2	2	1.37
mặt_tiền	118662	24424	2	2	1.37
phương_tây	118662	24424	2	2	1.37
powerpoint	118662	24424	2	2	1.37
tham	118662	24424	2	2	1.37
gõ_cửa	118662	24424	2	2	1.37
vinamilk	118662	24424	2	2	1.37
hải_yến	118662	24424	2	2	1.37
thành_hình	118662	24424	2	2	1.37
thực_hành	118662	24424	2	2	1.37
cổ_vũ	118662	24424	2	2	1.37
phụ_huynh	118662	24424	2	2	1.37
khẩu_hiệu	118662	24424	2	2	1.37
lợi_dụng	118662	24424	2	2	1.37
ẩm_ướt	118662	24424	2	2	1.37
lá_mạ	118662	24424	2	2	1.37
aquamarine	118662	24424	2	2	1.37
màu_sơn	118662	24424	2	2	1.37
vật_thể	118662	24424	2	2	1.37
trắng_tinh_tế	118662	24424	2	2	1.37
homestay_sơn	118662	24424	2	2	1.37
limescale	118662	24424	2	2	1.37
42b	118662	24424	2	2	1.37
carolina	118662	24424	2	2	1.37
sơn_phòng_vệ_sinh	118662	24424	2	2	1.37
phòng_vệ_sinh	118662	24424	2	2	1.37
medium_green	118662	24424	2	2	1.37
contrast_ratio	118662	24424	2	2	1.37
tươi_tốt	118662	24424	2	2	1.37
mint	118662	24424	2	2	1.37
palette	118662	24424	2	2	1.37
tâm_tư	118662	24424	2	2	1.37
xòe	118662	24424	2	2	1.37
rak	118662	24424	2	2	1.37
ca_dao	118662	24424	2	2	1.37
khố	118662	24424	2	2	1.37
tái_xanh	118662	24424	2	2	1.37
bủng	118662	24424	2	2	1.37
da_cam	118662	24424	2	2	1.37
xoong	118662	24424	2	2	1.37
tranh_cãi	118662	24424	2	2	1.37
hieuthuhai	118662	24424	2	2	1.37
fan_sơn_tùng	118662	24424	2	2	1.37
đòi	118662	24424	2	2	1.37
cạch	118662	24424	2	2	1.37
triệu_lộ	118662	24424	2	2	1.37
suy_sụp	118662	24424	2	2	1.37
jack	118662	24424	2	2	1.37
bước_đi	118662	24424	2	2	1.37
evnhcmc	118662	24424	2	2	1.37
hích	118662	24424	2	2	1.37
đón_đầu_cơ_hội	118662	24424	2	2	1.37
jeju	118662	24424	2	2	1.37
exclusive	118662	24424	2	2	1.37
xám_xám	118662	24424	2	2	1.37
tím_than	118662	24424	2	2	1.37
square	118662	24424	2	2	1.37
pockets	118662	24424	2	2	1.37
mini_malbon	118662	24424	2	2	1.37
tdgg07	118662	24424	2	2	1.37
tdgg33	118662	24424	2	2	1.37
gia_nhập_cuộc	118662	24424	2	2	1.37
lắp	118662	24424	2	2	1.37
bike	118662	24424	2	2	1.37
smgiới	118662	24424	2	2	1.37
thiệu	118662	24424	2	2	1.37
nbsp	118662	24424	2	2	1.37
565	118662	24424	2	2	1.37
hợp_thời_trang	118662	24424	2	2	1.37
hàm_lượng	118662	24424	2	2	1.37
hán	118662	24424	11	5	1.37
cân_nhắc	118662	24424	11	5	1.37
jeans	118662	24424	11	5	1.37
xinh	118662	24424	11	5	1.37
chi_tiết	118662	24424	52	15	1.35
sắc_màu	118662	24424	39	12	1.35
nghiệm	118662	24424	61	17	1.34
điểm	118662	24424	84	22	1.34
tích_cực	118662	24424	48	14	1.33
độc_đáo	118662	24424	31	10	1.32
thổ	118662	24424	27	9	1.31
thương_hiệu	118662	24424	53	15	1.30
chắc	118662	24424	8	4	1.30
neon	118662	24424	8	4	1.30
riêng_biệt	118662	24424	8	4	1.30
dây	118662	24424	8	4	1.30
nhà_cửa	118662	24424	8	4	1.30
ban_công	118662	24424	8	4	1.30
kiến_trúc	118662	24424	8	4	1.30
resort	118662	24424	8	4	1.30
quảng_ngãi	118662	24424	8	4	1.30
động_lực	118662	24424	8	4	1.30
tán	118662	24424	8	4	1.30
lửa	118662	24424	8	4	1.30
khốc_liệt	118662	24424	8	4	1.30
service	118662	24424	8	4	1.30
bạn	118662	24424	318	68	1.29
việc	118662	24424	119	29	1.29
dưới	118662	24424	81	21	1.29
văn_hóa	118662	24424	129	31	1.28
22	118662	24424	36	11	1.27
tinh_tế	118662	24424	45	13	1.26
vẻ	118662	24424	45	13	1.26
đây	118662	24424	140	33	1.26
tình_nguyện_viên	118662	24424	5	3	1.26
be_group	118662	24424	5	3	1.26
khái_niệm	118662	24424	5	3	1.26
đối_lập	118662	24424	5	3	1.26
phát_huy	118662	24424	5	3	1.26
bạt_ngàn	118662	24424	5	3	1.26
008000	118662	24424	5	3	1.26
an_lành	118662	24424	5	3	1.26
trò	118662	24424	5	3	1.26
tourmalines	118662	24424	5	3	1.26
đồng_nghĩa	118662	24424	5	3	1.26
ốc_đảo	118662	24424	5	3	1.26
shopeefood	118662	24424	5	3	1.26
play	118662	24424	5	3	1.26
tiên_phong	118662	24424	5	3	1.26
agrave	118662	24424	5	3	1.26
phong_tục	118662	24424	5	3	1.26
phòng_ngừa	118662	24424	5	3	1.26
tránh	118662	24424	32	10	1.26
luôn	118662	24424	59	16	1.25
công_nghệ_xanh	118662	24424	12	5	1.23
trường_hợp	118662	24424	12	5	1.23
04	118662	24424	12	5	1.23
trang_chủ	118662	24424	55	15	1.23
thư	118662	24424	55	15	1.23
nếu	118662	24424	55	15	1.23
biến_thể	118662	24424	20	7	1.22
gsm	118662	24424	20	7	1.22
nhé	118662	24424	20	7	1.22
tiết	118662	24424	20	7	1.22
nhựa	118662	24424	20	7	1.22
sinh_viên	118662	24424	16	6	1.22
thú_vị	118662	24424	16	6	1.22
dịu	118662	24424	16	6	1.22
điện_thoại	118662	24424	65	17	1.20
vườn	118662	24424	33	10	1.20
mắt	118662	24424	33	10	1.20
quần	118662	24424	61	16	1.18
chính_thức	118662	24424	29	9	1.18
mạnh_mẽ	118662	24424	47	13	1.18
mà	118662	24424	190	41	1.18
đa_dạng	118662	24424	38	11	1.17
gọi	118662	24424	81	20	1.16
sinh_học	118662	24424	25	8	1.16
điện	118662	24424	127	29	1.16
áp_dụng	118662	24424	43	12	1.15
dòng	118662	24424	62	16	1.15
ngôn_ngữ	118662	24424	34	10	1.15
dong	118662	24424	9	4	1.15
tâm_lý	118662	24424	9	4	1.15
ghế	118662	24424	9	4	1.15
quần_âu	118662	24424	9	4	1.15
thư_thái	118662	24424	9	4	1.15
đồ_họa	118662	24424	9	4	1.15
ngọn	118662	24424	9	4	1.15
tốt	118662	24424	87	21	1.14
icon	118662	24424	82	20	1.14
biến	118662	24424	17	6	1.13
rộng_rãi	118662	24424	17	6	1.13
soobin	118662	24424	17	6	1.13
đầy	118662	24424	30	9	1.12
đối_với	118662	24424	63	16	1.12
mạng_lưới	118662	24424	13	5	1.12
hầu_hết	118662	24424	13	5	1.12
bước_sóng	118662	24424	13	5	1.12
quy_mô	118662	24424	13	5	1.12
đó	118662	24424	158	32	1.11
tìm_hiểu	118662	24424	35	10	1.10
hoàn_hảo	118662	24424	26	8	1.10
hướng	118662	24424	45	12	1.08
đặc_biệt	118662	24424	70	17	1.08
cây_xanh	118662	24424	50	13	1.08
lối	118662	24424	22	7	1.07
tương_lai	118662	24424	22	7	1.07
cơ_bản	118662	24424	22	7	1.07
nét	118662	24424	22	7	1.07
hay	118662	24424	131	27	1.07
nhanh	118662	24424	71	17	1.06
hành_tinh	118662	24424	6	3	1.06
phân_tích	118662	24424	6	3	1.06
tips	118662	24424	6	3	1.06
phẩm	118662	24424	6	3	1.06
fan	118662	24424	6	3	1.06
phản_hồi	118662	24424	6	3	1.06
kém	118662	24424	6	3	1.06
chiếu	118662	24424	6	3	1.06
nhật_vượng	118662	24424	6	3	1.06
thuần	118662	24424	6	3	1.06
giấc_ngủ	118662	24424	6	3	1.06
bánh_xe	118662	24424	6	3	1.06
mix	118662	24424	6	3	1.06
8v6vomjf3pxgvvbi0wa	118662	24424	6	3	1.06
hơn_nữa	118662	24424	6	3	1.06
tế	118662	24424	6	3	1.06
đặc	118662	24424	6	3	1.06
accent	118662	24424	6	3	1.06
trưng	118662	24424	6	3	1.06
an_thịnh	118662	24424	6	3	1.06
có_nghĩa_là	118662	24424	6	3	1.06
tư_duy	118662	24424	6	3	1.06
gile	118662	24424	6	3	1.06
ng	118662	24424	6	3	1.06
pha	118662	24424	41	11	1.05
ta	118662	24424	18	6	1.05
hùng	118662	24424	18	6	1.05
vậy	118662	24424	27	8	1.05
tối	118662	24424	27	8	1.05
đơn_giản	118662	24424	14	5	1.03
cải_thiện	118662	24424	14	5	1.03
thích_hợp	118662	24424	14	5	1.03
kết	118662	24424	14	5	1.03
vì_thế	118662	24424	14	5	1.03
cầm	118662	24424	14	5	1.03
powered	118662	24424	10	4	1.02
mediawiki	118662	24424	10	4	1.02
đề_tài	118662	24424	10	4	1.02
gu	118662	24424	10	4	1.02
nổi	118662	24424	10	4	1.02
cảm_giác_thư	118662	24424	10	4	1.02
mini	118662	24424	10	4	1.02
trung_bình	118662	24424	10	4	1.02
qrcode	118662	24424	10	4	1.02
trung_quốc	118662	24424	23	7	1.02
chủ_đề	118662	24424	23	7	1.02
nhưng	118662	24424	92	20	1.01
an_toàn	118662	24424	58	14	1.01
cạnh	118662	24424	28	8	1.00
trung	118662	24424	28	8	1.00
đóng	118662	24424	48	12	1.00
nguyễn_ngọc_ánh	118662	24424	3	2	1.00
up	118662	24424	3	2	1.00
workshop	118662	24424	3	2	1.00
ủng_hộ	118662	24424	3	2	1.00
hoàng_kim_tươi	118662	24424	3	2	1.00
8h30	118662	24424	3	2	1.00
18h	118662	24424	3	2	1.00
phản	118662	24424	3	2	1.00
lá_dong	118662	24424	3	2	1.00
đặc_tính	118662	24424	3	2	1.00
smart	118662	24424	3	2	1.00
herio_green	118662	24424	3	2	1.00
tổng_giám_đốc	118662	24424	3	2	1.00
cầu_nối	118662	24424	3	2	1.00
thoáng	118662	24424	3	2	1.00
hề	118662	24424	3	2	1.00
